Name,Manufacturer,Part #,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Color,Brightness,Pixel Pitch,Widescreen,Curved Screen,Frame Sync,Built-in Speakers,VESA Mounting,Viewing Angle,Inputs
Acer Acer Nitro XV272U W2bmiiprx,Acer ,UM.HX2AA.201 ,"27"" ",2560 x 1440 ,240 Hz ,1 ms ,IPS ,16:9 ,Black ,,0.233 mm ,Yes ,No ,FreeSync Premium ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
Asus ROG Swift OLED PG27AQDP,Asus , 90LM0A20-B01AB0 | PG27AQDP | 90LM0A20-B01A70 | ROG-SWIFT-OLED-PG27AQDP | ,"26.5"" ",2560 x 1440 ,480 Hz ,0.03 ms ,OLED ,16:9 ,Black / Red ,1300 cd/m² ,0.229 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
Dell UP3218K,Dell , UP3218K | DELL-UP3218K | 210-ALEZ | 095P9 | ,"31.5"" ",7680 x 4320 ,60 Hz ,6 ms ,IPS ,16:9 ,,400 cd/m² ,0.091 mm ,Yes ,No ,None ,No ,,178° H x 178° V ,2 x DisplayPort 
Asus TUF Gaming VG27AQ3A,Asus , VG27AQ3A | TUF Gaming VG27AQ3A | 90LM0940-B019B0 | 90lm0940-b01970 | ,"27"" ",2560 x 1440 ,180 Hz ,1 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.233 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Samsung Odyssey OLED G80SD,Samsung , LS32DG802SNXZA | LS32DG802SEXXY | LS32DG802SUXXU | LS32DG802SUXEN | LS32DG800SUXEN | ,"32"" ",3840 x 2160 ,240 Hz ,0.03 ms ,OLED ,16:9 ,Silver / Black ,250 cd/m² ,0.184 mm ,Yes ,No ,FreeSync Premium Pro ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 2 x HDMI 2.1 | 
MSI G242L E14,MSI ,G242L E14 ,"23.8"" ",1920 x 1080 ,144 Hz ,,IPS ,16:9 ,Black ,300 cd/m² ,0.274 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2a | 1 x HDMI 1.4 | 
Samsung Odyssey G55C,Samsung , LS32CG552ENXZA | LS27CG554EUXEN | ,"32"" ",2560 x 1440 ,165 Hz ,1 ms ,VA ,16:9 ,Black ,300 cd/m² ,0.277 mm ,Yes ,Yes ,FreeSync ,No ,75 x 75 ,178° H x 178° V ,
Samsung Odyssey OLED G93SC,Samsung , LS49CG932SNXZA | LS49CG934SUXXU | LS49CG934SEXXY | LS49CG934SUXEN | ,"49"" ",5120 x 1440 ,240 Hz ,0.03 ms ,QD-OLED ,32:9 ,Silver / Black ,250 cd/m² ,0.234 mm ,Yes ,Yes ,FreeSync Premium Pro ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.1 | 1 x Micro-HDMI 2.1 | 
Asus ProArt Display PA32DC,Asus , 90LM06N0-B01IB0 | PA32DC | 90LM06N0-B01I70 | ,"31.5"" ",3840 x 2160 ,60 Hz ,0.1 ms ,OLED ,16:9 ,Black ,500 cd/m² ,0.182 mm ,Yes ,No ,None ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 3 x HDMI 2.0 | 
Asus ROG Strix XG27AQDMG,Asus , XG27AQDMG | 90LM0AH0-B01AB0 | 90LM0AH0-B01A70 | ,"26.5"" ",2560 x 1440 ,240 Hz ,0.03 ms ,WOLED ,16:9 ,Black / Red ,450 cd/m² ,0.229 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
Asus ROG Swift OLED PG27UCDM,Asus , 90LM0B30-B019B1 | PG27UCDM | 90LM0B30-B01971 | ,"26.5"" ",3840 x 2160 ,240 Hz ,0.03 ms ,QD-OLED ,16:9 ,Black ,1000 cd/m² ,0.153 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 2.1 | 2 x HDMI 2.1 | 1 x USB Type-C | 
LG UltraGear G6 27G610A-B,LG , 27G610A-B | 27G610A-B.AEUQ | ,"27"" ",2560 x 1440 ,200 Hz ,1 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.233 mm ,Yes ,No ,FreeSync Premium ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI | 
LG UltraGear 24G411A-B,LG , 24G411A-B | 24G411A-B.AEU | ,"24"" ",1920 x 1080 ,144 Hz ,5 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.277 mm ,Yes ,No , FreeSync | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.1 | 
ViewSonic ELITE XG321UG,ViewSonic , XG321UG | ELITE XG321UG | ,"32"" ",3840 x 2160 ,144 Hz ,3 ms ,IPS ,16:9 ,Black ,1400 cd/m² ,0.184 mm ,Yes ,No ,G-Sync Ultimate ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 3 x HDMI 2.0 | 
LG UltraGear OLED 45GX950A-B,LG , 45GX950A-B | 45GX950A-B.AEU | ,"44.5"" ",5120 x 2160 ,165 Hz ,0.03 ms ,OLED ,64:27 ,Black ,1300 cd/m² ,0.203 mm ,Yes ,Yes , FreeSync Premium Pro | G-Sync Compatible | ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 2.1 | 1 x HDMI | 
MSI PRO MP225,MSI ,PRO MP225 ,"21.5"" ",1920 x 1080 ,100 Hz ,4 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.248 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x HDMI 1.4 | 1 x VGA | 
Dell P2213,Dell ,469-3136 ,"22"" ",1680 x 1050 ,60 Hz ,5 ms ,,16:10 ,,250 cd/m² ,0.282 mm ,Yes ,No ,None ,No ,100 x 100 ,170° H x 160° V , 1 x DisplayPort | 1 x DVI | 1 x VGA | 
Acer Predator X27U Z1bmiiprx,Acer , UM.GXXAA.103 | X27U Z1bmiiprx | ,"26.5"" ",2560 x 1440 ,280 Hz ,0.03 ms ,QD-OLED ,16:9 ,Black ,1000 cd/m² ,0.229 mm ,Yes ,No ,FreeSync Premium Pro ,Yes ,75 x 75 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
BenQ XL2586X+,BenQ , XL2586X+ | 9H.LN8LB.QBE | ,"24.1"" ",1920 x 1080 ,600 Hz ,,TN ,16:9 ,Black ,320 cd/m² ,0.278 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,170° H x 160° V , 1 x DisplayPort 1.4 | 3 x HDMI 2.1 | 
Dell Alienware AW3225QF,Dell , AW3225QF | Aw3225qfsap | DGCGT | 210-BLLV | GAME-AW3225QF | MPJG7 | ,"31.6"" ",3840 x 2160 ,240 Hz ,0.03 ms ,QD-OLED ,16:9 ,Black / White ,1000 cd/m² ,0.182 mm ,Yes ,Yes ,G-Sync Compatible ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
Asus ROG Strix OLED XG27ACDNG,Asus , XG27ACDNG | Strix OLED XG27ACDNG | ROG Strix OLED XG27ACDNG | 90LM0AN0-B01970 | 90LM0AN0-B019B0 | ,"26.5"" ",2560 x 1440 ,360 Hz ,0.03 ms ,QD-OLED ,16:9 ,Black ,1000 cd/m² ,0.229 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
Asus ProArt Display PA32UCXR,Asus , 90LM03H0-B01KB0 | 90LM03H0-B01K70 | PA32UCXR | ,"32"" ",3840 x 2160 ,60 Hz ,5 ms ,IPS ,16:9 ,Black ,1000 cd/m² ,0.184 mm ,Yes ,No ,FreeSync ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 1 x USB Type-C 3.2 Gen 2 | 
Samsung Odyssey OLED G60SD,Samsung , LS27DG602SNXZA | LS27DG600SUXEN | ,"27"" ",2560 x 1440 ,360 Hz ,0.03 ms ,QD-OLED ,16:9 ,Silver / Black ,250 cd/m² ,0.233 mm ,Yes ,No ,FreeSync Premium Pro ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
MSI MAG 275F,MSI ,MAG 275F ,"27"" ",1920 x 1080 ,180 Hz ,0.5 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.311 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0b | 
Asus TUF Gaming VG249QL3A,Asus , TUF Gaming VG249QL3A | 90LM09G0-B011B0 | VG249QL3A | 90lm09g0-b01170 | ,"23.8"" ",1920 x 1080 ,180 Hz ,1 ms ,IPS ,16:9 ,Black ,350 cd/m² ,0.274 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2 | 2 x HDMI 2.0 | 
Asus ProArt Display PA32UCG-K,Asus , 90LM03H0-B083B0 | PROART-DISPLAY-PA32UCG-K | PA32UCG-K | ,"32"" ",3840 x 2160 ,120 Hz ,5 ms ,IPS ,16:9 ,,1000 cd/m² ,0.184 mm ,Yes ,No ,FreeSync Premium Pro ,Yes ,100 x 100 ,178° H x 178° V , 1 x HDMI 2.1 | 2 x HDMI 2.0 | 1 x USB Type-C | 
AOC Q27G3XMN,AOC , Q27G3XMN | Q27G3XMN/BK | AOC Q27G3XMN/BK | ,"27"" ",2560 x 1440 ,180 Hz ,1 ms ,VA Mini LED ,16:9 ,Black / Red ,1000 cd/m² ,0.233 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.0 | 
Dell Alienware AW3425DW,Dell , AW3425DW | KG7KH | aw3425dwsap | ag-monaw3425dw | 210-BRRK | 63HN0 | 210-BRPM | ,"34.2"" ",3440 x 1440 ,240 Hz ,0.03 ms ,QD-OLED ,21:9 ,Black ,1000 cd/m² ,0.233 mm ,Yes ,Yes , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
LG UltraGear OLED 27GX790A-B,LG , 27GX790A-B | LG 27GX790A-B | 27GX790A-B.AUS | 27GX790A-B.AEU | 27GX790A | ,"27"" ",2560 x 1440 ,480 Hz ,0.03 ms ,OLED ,16:9 ,Black ,275 cd/m² ,0.233 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 2.1 | 2 x HDMI 2.1 | 
LG UltraGear OLED 27GS93QE-B,LG , 27GS93QE-B | 27GS93QE-B.AUS | ,"26.5"" ",2560 x 1440 ,240 Hz ,0.03 ms ,OLED ,16:9 ,Black ,275 cd/m² ,0.229 mm ,Yes ,No ,FreeSync Premium Pro ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 2 x HDMI | 
Dell Alienware AW2725DF,Dell , AW2725DF | VP7PF | Aw2725dfsap | 210-BLHH | GAME-AW2725DF | ,"26.7"" ",2560 x 1440 ,360 Hz ,0.03 ms ,QD-OLED ,16:9 ,Black ,1000 cd/m² ,0.231 mm ,Yes ,No ,FreeSync Premium Pro ,No ,100 x 100 ,178° H x 178° V , 2 x DisplayPort 1.4 | 1 x HDMI 2.1 | 
Asus ROG Strix OLED XG32UCWMG,Asus , ROG Strix OLED XG32UCWMG | XG32UCWMG | 90LM0BW0-B013B2 | 90LM0BW0-B01371 | ,"31.5"" ",3840 x 2160 ,240 Hz ,0.03 ms ,WOLED ,16:9 ,Black ,1300 cd/m² ,0.182 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 1 x USB Type-C | 
ASRock Challenger CL27FFA,ASRock ,CL27FFA ,"27"" ",1920 x 1080 ,120 Hz ,,IPS ,16:9 ,Black ,300 cd/m² ,0.311 mm ,Yes ,No ,None ,No ,100 x 100 ,178° H x 178° V , 1 x HDMI 1.4 | 1 x VGA | 
ASRock PG27QFT1B,ASRock , PG27QFT1B | 90LXA0A0-A0E0A0J | ,"27"" ",2560 x 1440 ,180 Hz ,,IPS ,16:9 ,Black ,400 cd/m² ,0.233 mm ,Yes ,No ,FreeSync ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
MSI MAG 27CQ6F,MSI , 27CQ6F | MAG 27CQ6F | 9S6-3CD91M-002 | ,"27"" ",2560 x 1440 ,180 Hz ,0.5 ms ,VA ,16:9 ,Black ,300 cd/m² ,0.233 mm ,Yes ,Yes ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0b | 
Asus ROG Swift OLED PG32UCDP,Asus , 90LM0A50-B013B0 | ROG Swift OLED PG32UCDP | PG32UCDP | 90LM0A50-B01370 | ,"31.5"" ",3840 x 2160 ,240 Hz ,0.03 ms ,WOLED ,16:9 ,Black ,1300 cd/m² ,0.182 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
Samsung Odyssey G4,Samsung ,LS27BG402ENXGO ,"27"" ",1920 x 1080 ,240 Hz ,1 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.311 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2 | 2 x HDMI 2.0 | 
BenQ GW2490,BenQ , GW2490 | 9H.LLSLB.QBE | 9H.LLSLJ.LBE | ,"23.8"" ",1920 x 1080 ,100 Hz ,5 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.274 mm ,Yes ,No ,None ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2 | 1 x HDMI 1.4 | 
Samsung C24F390,Samsung ,C24F390 ,"24"" ",1920 x 1080 ,60 Hz ,4 ms ,VA ,16:9 ,,250 cd/m² ,0.277 mm ,Yes ,Yes ,FreeSync ,No ,,178° H x 178° V , 1 x HDMI | 1 x VGA | 
Asus TUF Gaming VG27AQM5A,Asus , VG27AQM5A | 90LM0BG0-B019B1 | ,"27"" ",2560 x 1440 ,300 Hz ,1 ms ,IPS ,16:9 ,Black ,300 cd/m² ,0.233 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
LG UltraGear 34GS95QE-B,LG , 34GS95QE-B | 34GS95QE-B.AEU | ,"34"" ",3440 x 1440 ,240 Hz ,0.03 ms ,OLED ,21:9 ,Black ,275 cd/m² ,0.232 mm ,Yes ,Yes , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V ,
Acer Nitro XV1 XV271U M3bmiiprx,Acer , UM.HX1AA.301 | Xv271u M3bmiiprx | Nitro Xv271u M3bmiiprx | UM.HX1SA.301 | ,"27"" ",2560 x 1440 ,180 Hz ,1 ms ,IPS ,16:9 ,Black / Red ,250 cd/m² ,0.233 mm ,Yes ,No ,FreeSync Premium ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort | 2 x HDMI | 
LG 65EP5G-B,LG ,65EP5G-B ,"65"" ",3840 x 2160 ,120 Hz ,0.1 ms ,OLED ,16:9 ,Black ,770 cd/m² ,0.375 mm ,Yes ,No ,None ,No ,,178° H x 178° V ,2 x HDMI 
Asus ProArt Display PA32UCG-K,Asus , PA32UCG-K | 90LM03H0-B05370 | ,"32"" ",3840 x 2160 ,120 Hz ,5 ms ,IPS ,16:9 ,Black ,1600 cd/m² ,0.184 mm ,Yes ,No ,FreeSync Premium Pro ,No ,,178° H x 178° V , 1 x DisplayPort | 3 x HDMI | 
AOC CU34G2XP/BK,AOC , CU34G2XP/BK | CU34G2XP | ,"34"" ",3440 x 1440 ,180 Hz ,1 ms ,VA ,21:9 ,Black / Red ,400 cd/m² ,0.232 mm ,Yes ,Yes ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 2 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
MSI MAG 274QF X24,MSI , MAG 274QF X24 | 274QF X24 | ,"27"" ",2560 x 1440 ,240 Hz ,0.5 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.233 mm ,Yes ,No ,FreeSync Premium ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4a | 2 x HDMI 2.0b | 
MSI MPG 322URX QD-OLED,MSI , MPG 322URX QD-OLED | 9S6-3DD29A-018 | 9S6-3DD29A-016 | MPG 322URXDE QD-OLED | 9S6-3DD29A-021 | ,"32"" ",3840 x 2160 ,240 Hz ,0.03 ms ,QD-OLED ,16:9 ,Black ,1000 cd/m² ,0.184 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 2.1 | 2 x HDMI 2.1 | 
Acer Predator X39,Acer , UM.TXXAA.001 | X39 bmiiphuzx | UM.TXXEE.001 | ,"39"" ",3440 x 1440 ,240 Hz ,0.01 ms ,OLED ,21:9 ,Black ,1300 cd/m² ,0.266 mm ,Yes ,Yes ,FreeSync Premium ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 1 x USB Type-C | 
Asus ROG Strix XG27ACS,Asus , XG27ACS | ROG Strix XG27ACS | 90LM09Q0-B01170 | ,"27"" ",2560 x 1440 ,180 Hz ,1 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.233 mm ,Yes ,No , FreeSync | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.0 | 1 x USB Type-C | 
Asus TUF Gaming VG259QM5A,Asus , VG259QM5A | 90LM0B90-B01OB2 | ,"24.5"" ",1920 x 1080 ,240 Hz ,0.03 ms ,IPS ,16:9 ,Black ,300 cd/m² ,0.282 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
MSI MAG 255XFV,MSI ,MAG 255XFV ,"24.5"" ",1920 x 1080 ,250 Hz ,0.5 ms ,VA ,16:9 ,Black ,250 cd/m² ,0.282 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0b | 
Samsung Odyssey OLED G60SF,Samsung , LS27FG602SNXZA | LS27FG602SEXXS | LS27FG602SUXEN | ,"27"" ",2560 x 1440 ,500 Hz ,0.03 ms ,QD-OLED ,16:9 ,Silver ,300 cd/m² ,0.233 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
Samsung Odyssey G50D,Samsung , LS32DG500EUXEN | LS32DG502ENXZA | LS32DG500ENXZA | ,"32"" ",2560 x 1440 ,180 Hz ,1 ms ,IPS ,16:9 ,Black ,350 cd/m² ,0.277 mm ,Yes ,No ,FreeSync ,No ,,178° H x 178° V , 1 x DisplayPort 1.2 | 1 x HDMI 2.0 | 
AOC Q27G42ZE,AOC ,Q27G42ZE ,"27"" ",2560 x 1440 ,260 Hz ,,IPS ,16:9 ,Black ,300 cd/m² ,0.233 mm ,Yes ,No , FreeSync | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.0 | 
AOC Agon AG493UCX,AOC ,AG493UCX ,"49"" ",5120 x 1440 ,120 Hz ,,VA ,32:9 ,Black ,400 cd/m² ,0.234 mm ,Yes ,Yes ,FreeSync Premium Pro ,Yes ,,178° H x 178° V , 2 x DisplayPort | 2 x HDMI | 
Samsung Odyssey OLED G95SC,Samsung , LS49CG954SNXZA | LS49CG950SUXEN | LS49CG954SUXXU | LS49CG950SUXDU | ,"49"" ",5120 x 1440 ,240 Hz ,,QD-OLED ,32:9 ,White / Black ,250 cd/m² ,0.234 mm ,Yes ,Yes ,FreeSync Premium Pro ,Yes ,,178° H x 178° V , 1 x DisplayPort 1.4 | 1 x HDMI 2.1 | 
LG UltraGear 27GR83Q-B,LG ,27GR83Q-B ,"27"" ",2560 x 1440 ,240 Hz ,1 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.233 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,No ,,178° H x 178° V , 1 x DisplayPort | 1 x HDMI | 
Asus TUF Gaming VG279Q3A,Asus , 90LM0990-B011B0 | 90lm0990-b01170 | TUF Gaming VG279Q3A | VG279Q3A | ,"27"" ",1920 x 1080 ,180 Hz ,1 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.311 mm ,Yes ,No , FreeSync Premium | G-Sync Compatible | ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2 | 2 x HDMI 2.0 | 
MSI PRO MP251 E2,MSI , PRO MP251 E2 | 9S6-3PD2CM-009 | ,"24.5"" ",1920 x 1080 ,120 Hz ,4 ms ,IPS ,16:9 ,Black ,300 cd/m² ,0.282 mm ,Yes ,No ,FreeSync ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4a | 1 x HDMI 2.0 | 1 x VGA | 
Asus ROG Swift OLED PG32UCDMR,Asus , PG32UCDMR | 90LM0C00-B01971 | ,"31.5"" ",3840 x 2160 ,240 Hz ,0.03 ms ,QD-OLED ,16:9 ,Black / Red ,1000 cd/m² ,0.182 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 2.1 | 2 x HDMI 2.1 | 1 x USB Type-C | 
MSI MAG 272QP QD-OLED X50,MSI ,MAG 272QP QD-OLED X50 ,"26.5"" ",2560 x 1440 ,500 Hz ,0.03 ms ,QD-OLED ,16:9 ,Black ,500 cd/m² ,0.229 mm ,Yes ,No ,FreeSync Premium Pro ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4a | 2 x HDMI 2.1 | 1 x USB Type-C | 
Dell Alienware AW2725DM,Dell , AW2725DM | 6R0H2 | ,"27"" ",2560 x 1440 ,180 Hz ,1 ms ,IPS ,16:9 ,Black ,400 cd/m² ,0.233 mm ,Yes ,No , FreeSync | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 
MSI PRO MP275Q,MSI , PRO MP275Q | 9S6-3PC3CM-029 | ,"27"" ",2560 x 1440 ,100 Hz ,4 ms ,IPS ,16:9 ,Black ,300 cd/m² ,0.233 mm ,Yes ,No ,FreeSync ,Yes ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2a | 2 x HDMI 2.0b | 
MSI MPG 341CQPX QD-OLED,MSI , MPG 341CQPX QD-OLED | 9S6-3DD04T-013 | ,"34"" ",3440 x 1440 ,240 Hz ,0.03 ms ,QD-OLED ,21:9 ,Black ,1000 cd/m² ,0.232 mm ,Yes ,Yes ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4a | 2 x HDMI 2.1 | 1 x USB Type-C | 
