Name,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Thread Count,Performance Core Clock,Performance Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading,Efficiency Core Clock,Efficiency Core Boost Clock,Model
Intel Xeon E5-2687W,Intel ,BX80621E52687W ,Intel Xeon E5 ,Sandy Bridge ,Sandy Bridge-EP ,LGA2011 ,8.0,16.0,3.1 GHz ,3.8 GHz ,2 MB ,20 MB ,150 W ,None ,,Yes ,No ,Boxed ,32 nm ,No ,Yes: Hyper-Threading ,,,
AMD Ryzen 9 3900X,AMD ,100-000000023 ,AMD Ryzen 9 ,Zen 2 ,Matisse ,AM4 ,12.0,24.0,3.8 GHz ,4.6 GHz ,6 MB ,64 MB ,105 W ,None ,128 GB ,No ,No ,OEM/Tray ,7 nm ,No ,Yes ,,,
AMD Phenom II X4 820,AMD ,HDX820WFK4FGI ,AMD Phenom II X4 ,K10 ,Deneb ,AM3 ,4.0,4.0,2.8 GHz ,,2 MB ,4 MB ,95 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,No ,,,
Intel Core i5-13500T,Intel ,CM8071505092901 ,Intel Core i5 ,Raptor Lake ,Raptor Lake ,LGA1700 ,14.0,20.0,1.6 GHz ,4.6 GHz ,11.5 MB ,24 MB ,35 W ,Intel UHD Graphics 770 ,192 GB ,No ,No ,OEM/Tray ,10 nm ,No ,Yes: Hyper-Threading ,1.2 GHz ,3.2 GHz ,
AMD Athlon 3000G (14nm),AMD ,YD3000C6M2OFH ,AMD Athlon ,Zen ,Raven Ridge ,AM4 ,2.0,4.0,3.5 GHz ,,1 MB ,4 MB ,35 W ,Radeon Vega 3 ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes ,,,
Intel Xeon E5-2697 V2,Intel ,BX80635E52697V2 ,Intel Xeon E5 ,Ivy Bridge ,Ivy Bridge-EP ,LGA2011 ,12.0,24.0,2.7 GHz ,3.5 GHz ,3 MB ,30 MB ,130 W ,None ,,Yes ,No ,Boxed ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i7-7800X,Intel ,BX80673I77800X ,Intel Core i7 ,Skylake ,Skylake-X ,LGA2066 ,6.0,12.0,3.5 GHz ,4 GHz ,6 MB ,8.25 MB ,140 W ,None ,128 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i5-8600,Intel ,BX80684I58600 ,Intel Core i5 ,Coffee Lake ,Coffee Lake ,LGA1151 ,6.0,6.0,3.1 GHz ,4.3 GHz ,1.5 MB ,9 MB ,65 W ,Intel UHD Graphics 630 ,128 GB ,No ,Yes ,Boxed ,14 nm ,Yes ,No ,,,
AMD Ryzen 9 PRO 7945,AMD ,100-000000598 ,AMD Ryzen 9 PRO ,Zen 4 ,Raphael ,AM5 ,12.0,24.0,3.7 GHz ,5.4 GHz ,12 MB ,64 MB ,65 W ,Radeon ,128 GB ,Yes ,No ,OEM/Tray ,5 nm ,No ,Yes ,,,
Intel Core i7-5960X,Intel ,BX80648I75960X ,Intel Core i7 Extreme ,Haswell ,Haswell-E ,LGA2011-3 ,8.0,16.0,3 GHz ,3.5 GHz ,2 MB ,20 MB ,140 W ,None ,64 GB ,No ,No ,Boxed ,22 nm ,No ,Yes: Hyper-Threading ,,,
AMD Threadripper 2970WX,AMD ,YD297XAZAFWOF ,AMD Threadripper ,Zen+ ,Colfax ,sTR4 ,24.0,48.0,3 GHz ,4.2 GHz ,12 MB ,64 MB ,250 W ,None ,1024 GB ,Yes ,No ,Boxed ,12 nm ,No ,Yes ,,,
Intel Pentium E2220,Intel ,BX80557E2220 ,Intel Pentium ,Core ,Allendale ,LGA775 ,2.0,2.0,2.4 GHz ,,1 MB ,0 MB ,65 W ,None ,,No ,Yes ,Boxed ,65 nm ,Yes ,No ,,,
Intel Core i7-7820X,Intel ,BX80673I77820X ,Intel Core i7 ,Skylake ,Skylake-X ,LGA2066 ,8.0,16.0,3.6 GHz ,4.5 GHz ,8 MB ,11 MB ,140 W ,None ,128 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
AMD Ryzen 3 1200 (12nm),AMD ,YD1200BBAFBOX ,AMD Ryzen 3 ,Zen+ ,Pinnacle Ridge ,AM4 ,4.0,4.0,3.1 GHz ,3.4 GHz ,2 MB ,8 MB ,65 W ,None ,,No ,Yes ,Boxed ,12 nm ,Yes ,No ,,,
Intel Core i9-10900,Intel ,BX8070110900 ,Intel Core i9 ,Comet Lake ,Comet Lake ,LGA1200 ,10.0,20.0,2.8 GHz ,5.2 GHz ,2.5 MB ,20 MB ,65 W ,Intel UHD Graphics 630 ,128 GB ,No ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core 2 Quad Q9300,Intel ,EU80580PJ0606M ,Intel Core 2 Quad ,Yorkfield ,Yorkfield ,LGA775 ,4.0,4.0,2.5 GHz ,,6 MB ,0 MB ,95 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,No ,,,
Intel Core i5-7600,Intel ,BX80677I57600 ,Intel Core i5 ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,4.0,4.0,3.5 GHz ,4.1 GHz ,1 MB ,6 MB ,65 W ,Intel HD Graphics 630 ,64 GB ,No ,Yes ,Boxed ,14 nm ,Yes ,No ,,,
Intel Core i7-8086K,Intel ,BX80684I78086K ,Intel Core i7 ,Coffee Lake ,Coffee Lake ,LGA1151 ,6.0,12.0,4 GHz ,5 GHz ,1.5 MB ,12 MB ,95 W ,Intel UHD Graphics 630 ,128 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i5-14500T,Intel ,CM8071505092904 ,Intel Core i5 ,Raptor Lake Refresh ,Raptor Lake Refresh ,LGA1700 ,14.0,20.0,1.7 GHz ,4.8 GHz ,20 MB ,24 MB ,35 W ,Intel UHD Graphics 770 ,192 GB ,Yes ,No ,OEM/Tray ,7 nm ,No ,Yes: Hyper-Threading ,1.2 GHz ,3.4 GHz ,
Intel Core i9-13900T,Intel ,CM8071504820403 ,Intel Core i9 ,Raptor Lake ,Raptor Lake ,LGA1700 ,24.0,32.0,1.1 GHz ,5.3 GHz ,32 MB ,36 MB ,35 W ,Intel UHD Graphics 770 ,192 GB ,Yes ,No ,OEM/Tray ,10 nm ,No ,Yes: Hyper-Threading ,0.8 GHz ,3.9 GHz ,
AMD EPYC 4564P,AMD ,100-100001476WOF ,AMD EPYC ,Zen 4 ,Raphael ,AM5 ,16.0,32.0,4.5 GHz ,5.7 GHz ,16 MB ,64 MB ,170 W ,Radeon ,,Yes ,No ,Boxed ,5 nm ,No ,Yes ,,,
Intel Pentium Gold G7400,Intel ,BX80715G7400 ,Intel Pentium Gold ,Alder Lake ,Alder Lake ,LGA1700 ,2.0,4.0,3.7 GHz ,,2.5 MB ,6 MB ,46 W ,Intel UHD Graphics 710 ,128 GB ,No ,Yes ,Boxed ,10 nm ,Yes ,Yes: Hyper-Threading ,,,
AMD FX-6350,AMD ,FD6350FRHKBOX ,AMD FX ,Piledriver ,Vishera ,AM3+ ,6.0,6.0,3.9 GHz ,,6 MB ,8 MB ,125 W ,None ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
Intel Core i9-9900,Intel ,BX80684I99900 ,Intel Core i9 ,Coffee Lake Refresh ,Coffee Lake Refresh ,LGA1151 ,8.0,16.0,3.1 GHz ,5 GHz ,2 MB ,16 MB ,65 W ,Intel UHD Graphics 630 ,128 GB ,No ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i7-6700,Intel ,CM8066201920103 ,Intel Core i7 ,Skylake ,Skylake-S ,LGA1151 ,4.0,8.0,3.4 GHz ,4 GHz ,1 MB ,8 MB ,65 W ,Intel HD Graphics 530 ,64 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Pentium G4560,Intel ,BX80677G4560 ,Intel Pentium ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,2.0,4.0,3.5 GHz ,,0.5 MB ,3 MB ,54 W ,Intel HD Graphics 610 ,64 GB ,Yes ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i9-7920X,Intel ,BX80673I97920X ,Intel Core i9 ,Skylake ,Skylake-X ,LGA2066 ,12.0,24.0,2.9 GHz ,4.4 GHz ,12 MB ,16.5 MB ,140 W ,None ,128 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i7-7700,Intel ,CM8067702868314 ,Intel Core i7 ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,4.0,8.0,3.6 GHz ,4.2 GHz ,1 MB ,8 MB ,65 W ,Intel HD Graphics 630 ,64 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
AMD Ryzen 5 5600XT,AMD ,100-000001585 ,AMD Ryzen 5 ,Zen 3 ,Vermeer ,AM4 ,6.0,12.0,3.7 GHz ,4.7 GHz ,3 MB ,32 MB ,65 W ,None ,128 GB ,Yes ,No ,OEM/Tray ,7 nm ,No ,Yes ,,,
Intel Core i3-3220,Intel ,BX80637I33220 ,Intel Core i3 ,Ivy Bridge ,Ivy Bridge ,LGA1155 ,2.0,4.0,3.3 GHz ,,0.5 MB ,3 MB ,55 W ,Intel HD Graphics 2500 ,,Yes ,Yes ,Boxed ,22 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i7-9700K,Intel ,CM8068403874212 ,Intel Core i7 ,Coffee Lake Refresh ,Coffee Lake Refresh ,LGA1151 ,8.0,8.0,3.6 GHz ,4.9 GHz ,2 MB ,12 MB ,95 W ,Intel UHD Graphics 630 ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,No ,,,
AMD Ryzen 5 7400,AMD ,100-000001900 ,AMD Ryzen 5 ,Zen 4 ,Raphael ,AM5 ,6.0,12.0,3.3 GHz ,4.3 GHz ,6 MB ,16 MB ,65 W ,Radeon ,128 GB ,Yes ,No ,OEM/Tray ,5 nm ,No ,Yes ,,,
Intel Xeon E5-2683 V4,Intel ,CM8066002023604 ,Intel Xeon E5 ,Broadwell ,Broadwell-EP ,LGA2011-3 ,16.0,32.0,2.1 GHz ,3 GHz ,4 MB ,40 MB ,120 W ,None ,1536 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2690 V4,Intel ,BX80660E52690V4 ,Intel Xeon E5 ,Broadwell ,Broadwell-EP ,LGA2011-3 ,14.0,28.0,2.6 GHz ,3.5 GHz ,3.5 MB ,35 MB ,135 W ,None ,1536 GB ,Yes ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i7-7700K,Intel ,CM8067702868535 ,Intel Core i7 ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,4.0,8.0,4.2 GHz ,4.5 GHz ,1 MB ,8 MB ,91 W ,Intel HD Graphics 630 ,64 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
AMD FX-4350,AMD ,FD4350FRHKBOX ,AMD FX ,Piledriver ,Vishera ,AM3+ ,4.0,4.0,4.2 GHz ,,4 MB ,8 MB ,125 W ,None ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
Intel Core i9-12900F,Intel ,BX8071512900F ,Intel Core i9 ,Alder Lake ,Alder Lake ,LGA1700 ,16.0,24.0,2.4 GHz ,5.1 GHz ,14 MB ,30 MB ,65 W ,None ,128 GB ,No ,Yes ,Boxed ,10 nm ,Yes ,Yes: Hyper-Threading ,1.8 GHz ,3.8 GHz ,
Intel Core i7-920,Intel ,BX80601920 ,Intel Core i7 ,Nehalem ,Bloomfield ,LGA1366 ,4.0,8.0,2.66 GHz ,,1 MB ,8 MB ,130 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2683 V4,Intel ,BX80660E52683V4 ,Intel Xeon E5 ,Broadwell ,Broadwell-EP ,LGA2011-3 ,16.0,32.0,2.1 GHz ,3 GHz ,4 MB ,40 MB ,120 W ,None ,1536 GB ,Yes ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i5-8400T,Intel ,CM8068403358913 ,Intel Core i5 ,Coffee Lake ,Coffee Lake ,LGA1151 ,6.0,6.0,1.7 GHz ,3.3 GHz ,1.5 MB ,9 MB ,35 W ,Intel UHD Graphics 630 ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,No ,,,
AMD EPYC 4345P,AMD ,100-100001556WOF ,AMD EPYC ,Zen 5 ,Grado ,AM5 ,8.0,16.0,3.8 GHz ,5.5 GHz ,8 MB ,32 MB ,65 W ,Radeon ,,Yes ,No ,Boxed ,4 nm ,No ,Yes ,,,
Intel Core i3-12100T,Intel ,CM8071504651106 ,Intel Core i3 ,Alder Lake ,Alder Lake ,LGA1700 ,4.0,8.0,2.2 GHz ,4.1 GHz ,5 MB ,12 MB ,35 W ,Intel UHD Graphics 730 ,128 GB ,No ,No ,OEM/Tray ,10 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i3-550,Intel ,BX80616I3550 ,Intel Core i3 ,Westmere ,Clarkdale ,LGA1156 ,2.0,4.0,3.2 GHz ,,0.5 MB ,4 MB ,73 W ,Intel HD Graphics ,,No ,Yes ,Boxed ,32 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i7-4770K,Intel ,CM8064601464206 ,Intel Core i7 ,Haswell ,Haswell ,LGA1150 ,4.0,8.0,3.5 GHz ,3.9 GHz ,1 MB ,8 MB ,84 W ,Intel HD Graphics 4600 ,,No ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
AMD FX-8320,AMD ,FD8320FRHKBOX ,AMD FX ,Piledriver ,Vishera ,AM3+ ,8.0,8.0,3.5 GHz ,,8 MB ,8 MB ,125 W ,None ,,Yes ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
AMD Ryzen 3 1300X,AMD ,YD130XBBAEBOX ,AMD Ryzen 3 ,Zen ,Summit Ridge ,AM4 ,4.0,4.0,3.5 GHz ,3.7 GHz ,2 MB ,8 MB ,65 W ,None ,,No ,Yes ,Boxed ,14 nm ,Yes ,No ,,,
Intel Core i7-7800X,Intel ,CD8067303287002 ,Intel Core i7 ,Skylake ,Skylake-X ,LGA2066 ,6.0,12.0,3.5 GHz ,4 GHz ,6 MB ,8.25 MB ,140 W ,None ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i9-7980XE,Intel ,CD8067303734902 ,Intel Core i9 ,Skylake ,Skylake-X ,LGA2066 ,18.0,36.0,2.6 GHz ,4.4 GHz ,18 MB ,24 MB ,165 W ,None ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i9-7900X,Intel ,BX80673I97900X ,Intel Core i9 ,Skylake ,Skylake-X ,LGA2066 ,10.0,20.0,3.3 GHz ,4.5 GHz ,10 MB ,13.75 MB ,140 W ,None ,128 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i5-10600,Intel ,BX8070110600 ,Intel Core i5 ,Comet Lake ,Comet Lake ,LGA1200 ,6.0,12.0,3.3 GHz ,4.8 GHz ,1.5 MB ,12 MB ,65 W ,Intel UHD Graphics 630 ,128 GB ,No ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
AMD Athlon II 160u,AMD ,AD160UEAK13GQ ,AMD Athlon II ,K10 ,Sargas ,AM3 ,1.0,1.0,1.8 GHz ,,1 MB ,0 MB ,20 W ,None ,,No ,No ,OEM/Tray ,45 nm ,No ,No ,,,
AMD A8-9600,AMD ,AD9600AGABBOX ,AMD A8 ,Excavator ,Bristol Ridge ,AM4 ,4.0,4.0,3.1 GHz ,3.4 GHz ,2 MB ,0 MB ,65 W ,Radeon R7 (on-die) ,,No ,Yes ,Boxed ,28 nm ,Yes ,No ,,,
Intel Core i9-10920X,Intel ,BX8069510920X ,Intel Core i9 ,Cascade Lake ,Cascade Lake-X ,LGA2066 ,12.0,24.0,3.5 GHz ,4.8 GHz ,12 MB ,19.25 MB ,165 W ,None ,256 GB ,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
AMD FX-8320E,AMD ,FD832EWMHKBOX ,AMD FX ,Piledriver ,Vishera ,AM3+ ,8.0,8.0,3.2 GHz ,4 GHz ,8 MB ,8 MB ,95 W ,None ,,Yes ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
AMD FX-8370,AMD ,FD8370FRHKBOX ,AMD FX ,Piledriver ,Vishera ,AM3+ ,8.0,8.0,4 GHz ,4.3 GHz ,8 MB ,8 MB ,125 W ,None ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
AMD Threadripper 2990WX,AMD ,YD299XAZAFWOF ,AMD Threadripper ,Zen+ ,Colfax ,sTR4 ,32.0,64.0,3 GHz ,4.2 GHz ,16 MB ,64 MB ,250 W ,None ,1024 GB ,Yes ,No ,Boxed ,12 nm ,No ,Yes ,,,
Intel Core i3-2100,Intel ,BX80623I32100 ,Intel Core i3 ,Sandy Bridge ,Sandy Bridge ,LGA1155 ,2.0,4.0,3.1 GHz ,,0.5 MB ,3 MB ,65 W ,Intel HD Graphics 2000 ,,No ,Yes ,Boxed ,32 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i7-2700K,Intel ,BX80623i72700K ,Intel Core i7 ,Sandy Bridge ,Sandy Bridge ,LGA1155 ,4.0,8.0,3.5 GHz ,,1 MB ,8 MB ,95 W ,Intel HD Graphics 3000 ,,No ,Yes ,Boxed ,32 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i5-4440,Intel ,BX80646I54440 ,Intel Core i5 ,Haswell ,Haswell ,LGA1150 ,4.0,4.0,3.1 GHz ,3.3 GHz ,1 MB ,6 MB ,84 W ,Intel HD Graphics 4600 ,,No ,Yes ,Boxed ,22 nm ,Yes ,No ,,,
Intel Celeron G3900,Intel ,CM8066201928610 ,Intel Celeron ,Skylake ,Skylake-S ,LGA1151 ,2.0,2.0,2.8 GHz ,,0.5 MB ,2 MB ,51 W ,Intel HD Graphics 510 ,64 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,No ,,,
Intel Xeon E5-2650 V4,Intel ,BX80660E52650V4 ,Intel Xeon E5 ,Broadwell ,Broadwell-EP ,LGA2011-3 ,12.0,24.0,2.2 GHz ,2.9 GHz ,3 MB ,30 MB ,105 W ,None ,1536 GB ,Yes ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E-2276G,Intel ,CM8068404227703 ,Intel Xeon E ,Coffee Lake Refresh ,Coffee Lake Refresh ,LGA1151 ,6.0,12.0,3.8 GHz ,4.9 GHz ,1.5 MB ,12 MB ,80 W ,Intel HD Graphics P630 ,128 GB ,Yes ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
AMD Phenom II X4 940 Black,AMD ,HDZ940XCGIBOX ,AMD Phenom II X4 ,K10 ,Deneb ,AM2+ ,4.0,4.0,3 GHz ,,2 MB ,6 MB ,125 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
AMD Ryzen 7 3800X,AMD ,100-000000025 ,AMD Ryzen 7 ,Zen 2 ,Matisse ,AM4 ,8.0,16.0,3.9 GHz ,4.5 GHz ,4 MB ,32 MB ,105 W ,None ,128 GB ,No ,No ,OEM/Tray ,7 nm ,No ,Yes ,,,
AMD Ryzen 9 3950X,AMD ,100-000000051 ,AMD Ryzen 9 ,Zen 2 ,Matisse ,AM4 ,16.0,32.0,3.5 GHz ,4.7 GHz ,8 MB ,64 MB ,105 W ,None ,128 GB ,No ,No ,OEM/Tray ,7 nm ,No ,Yes ,,,
Intel Core i5-9600KF,Intel ,CM8068403874410 ,Intel Core i5 ,Coffee Lake Refresh ,Coffee Lake Refresh ,LGA1151 ,6.0,6.0,3.7 GHz ,4.6 GHz ,1.5 MB ,12 MB ,95 W ,None ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,No ,,,
AMD Ryzen 5 2600X,AMD ,YD260XBCM6IAF ,AMD Ryzen 5 ,Zen+ ,Pinnacle Ridge ,AM4 ,6.0,12.0,3.6 GHz ,4.2 GHz ,3 MB ,15.99 MB ,95 W ,None ,64 GB ,No ,No ,OEM/Tray ,12 nm ,No ,Yes ,,,
Intel Core i9-11900,Intel ,BX8070811900 ,Intel Core i9 ,Rocket Lake ,Rocket Lake-S ,LGA1200 ,8.0,16.0,2.5 GHz ,5.2 GHz ,4 MB ,16 MB ,65 W ,Intel UHD Graphics 750 ,128 GB ,No ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i5-2500,Intel ,BX80623I52500 ,Intel Core i5 ,Sandy Bridge ,Sandy Bridge ,LGA1155 ,4.0,4.0,3.3 GHz ,,0.5 MB ,6 MB ,95 W ,Intel HD Graphics 2000 ,,No ,Yes ,Boxed ,32 nm ,Yes ,No ,,,
Intel Core i3-4170,Intel ,BX80646I34170 ,Intel Core i3 ,Haswell Refresh ,Haswell Refresh ,LGA1150 ,2.0,4.0,3.7 GHz ,,0.5 MB ,3 MB ,54 W ,Intel HD Graphics 4400 ,,Yes ,Yes ,Boxed ,22 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i7-4960X Extreme Edition,Intel ,BX80633I74960X ,Intel Core i7 Extreme ,Ivy Bridge ,Ivy Bridge-E ,LGA2011 ,6.0,12.0,3.6 GHz ,4 GHz ,1.5 MB ,15 MB ,130 W ,None ,,No ,No ,Boxed ,22 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i7-6700K,Intel ,CM8066201919901 ,Intel Core i7 ,Skylake ,Skylake-S ,LGA1151 ,4.0,8.0,4 GHz ,4.2 GHz ,1 MB ,8 MB ,91 W ,Intel HD Graphics 530 ,64 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i9-10900F,Intel ,BX8070110900F ,Intel Core i9 ,Comet Lake ,Comet Lake ,LGA1200 ,10.0,20.0,2.8 GHz ,5.2 GHz ,2.5 MB ,20 MB ,65 W ,None ,128 GB ,No ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
AMD 5350,AMD ,AD5350JAHMBOX ,AMD Athlon ,Jaguar ,Kabini ,AM1 ,4.0,4.0,2.05 GHz ,,2 MB ,0 MB ,25 W ,Radeon HD 8400 ,,No ,Yes ,Boxed ,28 nm ,Yes ,No ,,,
Intel Core i5-6500,Intel ,CM8066201920404 ,Intel Core i5 ,Skylake ,Skylake-S ,LGA1151 ,4.0,4.0,3.2 GHz ,3.6 GHz ,1 MB ,6 MB ,65 W ,Intel HD Graphics 530 ,64 GB ,No ,No ,OEM/Tray ,14 nm ,No ,No ,,,
Intel Core i5-7400T,Intel ,CM8067702867915 ,Intel Core i5 ,Kaby Lake ,Kaby Lake-S ,LGA1151 ,4.0,4.0,2.4 GHz ,3 GHz ,1 MB ,6 MB ,35 W ,Intel HD Graphics 630 ,64 GB ,No ,No ,OEM/Tray ,14 nm ,No ,No ,,,
Intel Core 2 Extreme QX9770,Intel ,BX80569QX9770 ,Intel Core 2 Extreme ,Yorkfield ,Yorkfield ,LGA775 ,4.0,4.0,3.2 GHz ,,12 MB ,0 MB ,136 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
Intel Xeon E5-2680,Intel ,BX80621E52680 ,Intel Xeon E5 ,Sandy Bridge ,Sandy Bridge-EP ,LGA2011 ,8.0,16.0,2.7 GHz ,3.5 GHz ,2 MB ,20 MB ,130 W ,None ,,Yes ,No ,Boxed ,32 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i7-5930K,Intel ,BX80648I75930K ,Intel Core i7 ,Haswell ,Haswell-E ,LGA2011-3 ,6.0,12.0,3.5 GHz ,3.7 GHz ,1.5 MB ,15 MB ,140 W ,None ,64 GB ,No ,No ,Boxed ,22 nm ,No ,Yes: Hyper-Threading ,,,
AMD Ryzen 5 3600X,AMD ,100-000000022 ,AMD Ryzen 5 ,Zen 2 ,Matisse ,AM4 ,6.0,12.0,3.8 GHz ,4.4 GHz ,3 MB ,32 MB ,95 W ,None ,128 GB ,No ,No ,OEM/Tray ,7 nm ,No ,Yes ,,,
Intel Core i5-4670,Intel ,BX80646I54670 ,Intel Core i5 ,Haswell ,Haswell ,LGA1150 ,4.0,4.0,3.4 GHz ,,1 MB ,6 MB ,84 W ,Intel HD Graphics 4600 ,,No ,Yes ,Boxed ,22 nm ,Yes ,No ,,,
Intel Core i7-9700,Intel ,CM8068403874521 ,Intel Core i7 ,Coffee Lake Refresh ,Coffee Lake Refresh ,LGA1151 ,8.0,8.0,3 GHz ,4.7 GHz ,2 MB ,12 MB ,65 W ,Intel HD Graphics 630 ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,No ,,,
AMD Phenom II X6 1090T Black,AMD ,HDT90ZFBGRBOX ,AMD Phenom II X6 ,K10 ,Thuban ,AM3 ,6.0,6.0,3.2 GHz ,,3 MB ,6 MB ,125 W ,None ,,No ,Yes ,Boxed ,45 nm ,Yes ,No ,,,
Intel Core i9-9960X,Intel ,CD8067304126500 ,Intel Core i9 ,Skylake ,Skylake-X ,LGA2066 ,16.0,32.0,3.1 GHz ,4.4 GHz ,16 MB ,22 MB ,165 W ,None ,128 GB ,No ,No ,OEM/Tray ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2630 V4,Intel ,BX80660E52630V4 ,Intel Xeon E5 ,Broadwell ,Broadwell-EP ,LGA2011-3 ,10.0,20.0,2.2 GHz ,3.1 GHz ,2.5 MB ,25 MB ,85 W ,None ,1536 GB ,Yes ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i7-3930K,Intel ,BX80619i73930K ,Intel Core i7 ,Sandy Bridge ,Sandy Bridge-E ,LGA2011 ,6.0,12.0,3.2 GHz ,,1.5 MB ,12 MB ,130 W ,None ,,No ,No ,Boxed ,32 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i3-530,Intel ,BX80616I3530 ,Intel Core i3 ,Westmere ,Clarkdale ,LGA1156 ,2.0,4.0,2.93 GHz ,,0.5 MB ,4 MB ,73 W ,Intel HD Graphics ,,No ,Yes ,Boxed ,32 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Core i7-6950X,Intel ,BX80671I76950X ,Intel Core i7 Extreme ,Broadwell ,Broadwell-E ,LGA2011-3 ,10.0,20.0,3 GHz ,3.5 GHz ,2.5 MB ,25 MB ,140 W ,None ,,No ,No ,Boxed ,14 nm ,No ,Yes: Hyper-Threading ,,,
Intel Core i9-11900F,Intel ,BX8070811900F ,Intel Core i9 ,Rocket Lake ,Rocket Lake-S ,LGA1200 ,8.0,16.0,2.5 GHz ,5.2 GHz ,4 MB ,16 MB ,65 W ,None ,128 GB ,No ,Yes ,Boxed ,14 nm ,Yes ,Yes: Hyper-Threading ,,,
Intel Xeon E5-2699 V3,Intel ,CM8064401739300 ,Intel Xeon E5 ,Haswell ,Haswell-EP ,LGA2011-3 ,18.0,36.0,2.3 GHz ,3.6 GHz ,4.5 MB ,45 MB ,145 W ,None ,,Yes ,No ,OEM/Tray ,22 nm ,No ,Yes: Hyper-Threading ,,,
