Name,URL,Image,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Price
MSI PRO MP225,https://pcpartpicker.com/product/ncBFf7/msi-pro-mp225-215-1920-x-1080-100-hz-monitor-pro-mp225,https://cdna.pcpartpicker.com/static/forever/images/product/c4fdb52450050d66eb171a27cdbd394e.256p.jpg,"21.5""",1920 x 1080,100 Hz,4 ms,IPS,16:9,64.99
Dell P2213,https://pcpartpicker.com/product/TTK7YJ/dell-monitor-4693136,https://m.media-amazon.com/images/I/51xkGCRiCwL.jpg,"22.0""",1680 x 1050,60 Hz,5 ms,,16:10,168.00
Acer Predator X27U Z1bmiiprx,https://pcpartpicker.com/product/dvkqqs/acer-predator-x27u-z1bmiiprx-265-2560-x-1440-280-hz-monitor-umgxxaa103,https://cdna.pcpartpicker.com/static/forever/images/product/d95c3f7c69233b8b8b031d33cd627d8c.256p.jpg,"26.5""",2560 x 1440,280 Hz,0.03 ms,QD-OLED,16:9,379.99
BenQ XL2586X+,https://pcpartpicker.com/product/h68Pxr/benq-xl2586x-241-1920-x-1080-600-hz-monitor-xl2586x,https://cdna.pcpartpicker.com/static/forever/images/product/b5b99755135856fd2bb3b53012ab0a89.256p.jpg,"24.1""",1920 x 1080,600 Hz,,TN,16:9,999.99
Dell Alienware AW3225QF,https://pcpartpicker.com/product/RwXV3C/dell-alienware-aw3225qf-316-3840-x-2160-240-hz-curved-monitor-aw3225qf,https://cdna.pcpartpicker.com/static/forever/images/product/ddb115124a1eda804762f8fef6b6a2d2.256p.jpg,"31.6""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,849.99
Asus ROG Strix OLED XG27ACDNG,https://pcpartpicker.com/product/ngLp99/asus-rog-strix-oled-xg27acdng-265-2560-x-1440-360-hz-monitor-xg27acdng,https://cdna.pcpartpicker.com/static/forever/images/product/bc51b51879974fe2ed15e4b6df68886b.256p.jpg,"26.5""",2560 x 1440,360 Hz,0.03 ms,QD-OLED,16:9,669.00
Asus ProArt Display PA32UCXR,https://pcpartpicker.com/product/BCWJ7P/asus-proart-display-pa32ucxr-320-3840-x-2160-60-hz-monitor-90lm03h0-b01kb0,https://cdna.pcpartpicker.com/static/forever/images/product/38456f3de5a638bca99e1bdf057888d9.256p.jpg,"32.0""",3840 x 2160,60 Hz,5 ms,IPS,16:9,2199.00
Samsung Odyssey OLED G60SD,https://pcpartpicker.com/product/98pQzy/samsung-odyssey-oled-g60sd-270-2560-x-1440-360-hz-monitor-ls27dg602snxza,https://cdna.pcpartpicker.com/static/forever/images/product/6d2d0257a2ae291273ddd5e8de1a434a.256p.jpg,"27.0""",2560 x 1440,360 Hz,0.03 ms,QD-OLED,16:9,619.99
MSI MAG 275F,https://pcpartpicker.com/product/J62j4D/msi-mag-275f-270-1920-x-1080-180-hz-monitor-mag-275f,https://cdna.pcpartpicker.com/static/forever/images/product/96e1da40ce7b4a4e162045b0c7ad9b2d.256p.jpg,"27.0""",1920 x 1080,180 Hz,0.5 ms,IPS,16:9,124.99
Asus TUF Gaming VG249QL3A,https://pcpartpicker.com/product/NjKscf/asus-tuf-gaming-vg249ql3a-238-1920-x-1080-180-hz-monitor-tuf-gaming-vg249ql3a,https://cdna.pcpartpicker.com/static/forever/images/product/987118243cc390873b62b6bc0805e407.256p.jpg,"23.8""",1920 x 1080,180 Hz,1 ms,IPS,16:9,109.00
Asus ProArt Display PA32UCG-K,https://pcpartpicker.com/product/TgQcCJ/asus-proart-display-pa32ucg-k-320-3840x2160-120-hz-monitor-90lm03h0-b083b0,https://cdna.pcpartpicker.com/static/forever/images/product/a355ece2638358c4a8a2ded782e8cce2.256p.jpg,"32.0""",3840 x 2160,120 Hz,5 ms,IPS,16:9,3020.30
AOC Q27G3XMN,https://pcpartpicker.com/product/kJP8TW/aoc-q27g3xmn-270-2560-x-1440-180-hz-monitor-q27g3xmn,https://cdna.pcpartpicker.com/static/forever/images/product/318177d5031dd67c9001a8aa2a338a5b.256p.jpg,"27.0""",2560 x 1440,180 Hz,1 ms,VA Mini LED,16:9,279.99
Dell Alienware AW3425DW,https://pcpartpicker.com/product/V92j4D/dell-alienware-aw3425dw-342-3440-x-1440-240-hz-curved-monitor-aw3425dw,https://m.media-amazon.com/images/I/41ntQSLkfRL.jpg,"34.2""",3440 x 1440,240 Hz,0.03 ms,QD-OLED,21:9,749.99
LG UltraGear OLED 27GX790A-B,https://pcpartpicker.com/product/Bdbypg/lg-ultragear-oled-27gx790a-b-270-2560-x-1440-480-hz-monitor-27gx790a-b,https://cdna.pcpartpicker.com/static/forever/images/product/a611fc098ad2f3eac22e4e27ebbe4897.256p.jpg,"27.0""",2560 x 1440,480 Hz,0.03 ms,OLED,16:9,696.99
LG UltraGear OLED 27GS93QE-B,https://pcpartpicker.com/product/JtJBD3/lg-ultragear-oled-27gs93qe-b-265-2560-x-1440-240-hz-monitor-27gs93qe-b,https://cdna.pcpartpicker.com/static/forever/images/product/f1bb092e9434676c862710189f4a859c.256p.jpg,"26.5""",2560 x 1440,240 Hz,0.03 ms,OLED,16:9,564.69
Dell Alienware AW2725DF,https://pcpartpicker.com/product/3NFmP6/dell-alienware-aw2725df-267-2560-x-1440-360-hz-monitor-aw2725df,https://cdna.pcpartpicker.com/static/forever/images/product/51c7aec6c240c607d87f61e8a16823ec.256p.jpg,"26.7""",2560 x 1440,360 Hz,0.03 ms,QD-OLED,16:9,599.99
Asus ROG Strix OLED XG32UCWMG,https://pcpartpicker.com/product/rf4Pxr/asus-rog-strix-oled-xg32ucwmg-315-3840-x-2160-240-hz-monitor-rog-strix-oled-xg32ucwmg,https://cdna.pcpartpicker.com/static/forever/images/product/833791086a788b542cc0a002360a0014.256p.jpg,"31.5""",3840 x 2160,240 Hz,0.03 ms,WOLED,16:9,949.00
ASRock Challenger CL27FFA,https://pcpartpicker.com/product/C3bypg/asrock-challenger-cl27ffa-270-1920-x-1080-120-hz-monitor-cl27ffa,https://cdna.pcpartpicker.com/static/forever/images/product/fc796bf396e185a32c5e3f0cf7e38338.256p.jpg,"27.0""",1920 x 1080,120 Hz,,IPS,16:9,77.99
ASRock PG27QFT1B,https://pcpartpicker.com/product/LfzXsY/asrock-pg27qft1b-270-2560-x-1440-180-hz-monitor-pg27qft1b,https://m.media-amazon.com/images/I/41gCAij89tL.jpg,"27.0""",2560 x 1440,180 Hz,,IPS,16:9,129.77
MSI MAG 27CQ6F,https://pcpartpicker.com/product/t3Jp99/msi-mag-27cq6f-270-2560-x-1440-180-hz-curved-monitor-27cq6f,https://cdna.pcpartpicker.com/static/forever/images/product/84645abe7835e8dbbd99a92787fad7bf.256p.jpg,"27.0""",2560 x 1440,180 Hz,0.5 ms,VA,16:9,179.99
Asus ROG Swift OLED PG32UCDP,https://pcpartpicker.com/product/9mbRsY/asus-rog-swift-oled-pg32ucdp-315-3840-x-2160-240-hz-monitor-90lm0a50-b013b0,https://cdna.pcpartpicker.com/static/forever/images/product/3a6d3d1410af3200b4d8c14b3f84ea3b.256p.jpg,"31.5""",3840 x 2160,240 Hz,0.03 ms,WOLED,16:9,949.00
Samsung Odyssey G4,https://pcpartpicker.com/product/tcwypg/samsung-odyssey-g4-270-1920x1080-240-hz-monitor-ls27bg402enxgo,https://cdna.pcpartpicker.com/static/forever/images/product/532f0595275969ccd86055922406d927.256p.jpg,"27.0""",1920 x 1080,240 Hz,1 ms,IPS,16:9,299.99
BenQ GW2490,https://pcpartpicker.com/product/VzNscf/benq-gw2490-238-1920-x-1080-100-hz-monitor-gw2490,https://cdna.pcpartpicker.com/static/forever/images/product/4bd4f5a5386324cbe0db0ab6b5536308.256p.jpg,"23.8""",1920 x 1080,100 Hz,5 ms,IPS,16:9,99.99
Samsung C24F390,https://pcpartpicker.com/product/YsL7YJ/samsung-monitor-c24f390,https://cdna.pcpartpicker.com/static/forever/images/product/3dd2cdfad48aba22d4f62e6022ef0c2c.256p.jpg,"24.0""",1920 x 1080,60 Hz,4 ms,VA,16:9,89.99
Asus TUF Gaming VG27AQM5A,https://pcpartpicker.com/product/Hftkcf/asus-tuf-gaming-vg27aqm5a-270-2560-x-1440-300-hz-monitor-vg27aqm5a,https://cdna.pcpartpicker.com/static/forever/images/product/ab898c73330c7ecf67b998a6eb41795b.256p.jpg,"27.0""",2560 x 1440,300 Hz,1 ms,IPS,16:9,299.00
LG UltraGear 34GS95QE-B,https://pcpartpicker.com/product/FFLdnQ/lg-ultragear-34gs95qe-b-340-3440-x-1440-240-hz-curved-monitor-34gs95qe-b,https://cdna.pcpartpicker.com/static/forever/images/product/1af1eac3d949ce16d0ca68a651b699f6.256p.jpg,"34.0""",3440 x 1440,240 Hz,0.03 ms,OLED,21:9,696.99
Acer Nitro XV1 XV271U M3bmiiprx,https://pcpartpicker.com/product/p8zXsY/acer-nitro-xv1-xv271u-m3bmiiprx-270-2560-x-1440-180-hz-monitor-umhx1aa301,https://cdna.pcpartpicker.com/static/forever/images/product/07db5d09eb6f95dc9da150698b5f0eb4.256p.jpg,"27.0""",2560 x 1440,180 Hz,1 ms,IPS,16:9,169.99
LG 65EP5G-B,https://pcpartpicker.com/product/yMytt6/lg-65ep5g-b-650-3840x2160-120-hz-monitor-65ep5g-b,https://cdna.pcpartpicker.com/static/forever/images/product/b01d97e380b0840e5a7f789b31ec3a3f.256p.jpg,"65.0""",3840 x 2160,120 Hz,0.1 ms,OLED,16:9,
Asus ProArt Display PA32UCG-K,https://pcpartpicker.com/product/KPD7YJ/asus-proart-display-pa32ucg-k-320-3840x2160-120-hz-monitor-pa32ucg-k,https://cdna.pcpartpicker.com/static/forever/images/product/7a7f018b6d4e6e54702dec2707bf1014.256p.jpg,"32.0""",3840 x 2160,120 Hz,5 ms,IPS,16:9,3020.30
AOC CU34G2XP/BK,https://pcpartpicker.com/product/N8wmP6/aoc-cu34g2xpbk-340-3440-x-1440-180-hz-curved-monitor-cu34g2xpbk,https://cdna.pcpartpicker.com/static/forever/images/product/cccd4fa5a7d9cc206428edf9dba80cb9.256p.jpg,"34.0""",3440 x 1440,180 Hz,1 ms,VA,21:9,379.99
MSI MAG 274QF X24,https://pcpartpicker.com/product/8bHp99/msi-mag-274qf-x24-270-2560-x-1440-240-hz-monitor-mag-274qf-x24,https://cdna.pcpartpicker.com/static/forever/images/product/b5c4fca06c65523fe921ab019259cd9a.256p.jpg,"27.0""",2560 x 1440,240 Hz,0.5 ms,IPS,16:9,219.99
MSI MPG 322URX QD-OLED,https://pcpartpicker.com/product/W29nTW/msi-mpg-322urx-qd-oled-320-3840-x-2160-240-hz-monitor-mpg-322urx-qd-oled,https://cdna.pcpartpicker.com/static/forever/images/product/3af79b53861f6a1ebe0eb674bab5de19.256p.jpg,"32.0""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,999.99
Acer Predator X39,https://pcpartpicker.com/product/pGXMnQ/acer-predator-x39-390-3440-x-1440-240-hz-curved-monitor-umtxxaa001,https://m.media-amazon.com/images/I/41x21ZCgxlL.jpg,"39.0""",3440 x 1440,240 Hz,0.01 ms,OLED,21:9,699.99
Asus ROG Strix XG27ACS,https://pcpartpicker.com/product/mgWJ7P/asus-rog-strix-xg27acs-270-2560-x-1440-180-hz-monitor-xg27acs,https://m.media-amazon.com/images/I/31VTUjlhUVL.jpg,"27.0""",2560 x 1440,180 Hz,1 ms,IPS,16:9,199.00
Asus TUF Gaming VG259QM5A,https://pcpartpicker.com/product/dRtkcf/asus-tuf-gaming-vg259qm5a-245-1920-x-1080-240-hz-monitor-vg259qm5a,https://m.media-amazon.com/images/I/410otI10MnL.jpg,"24.5""",1920 x 1080,240 Hz,0.03 ms,IPS,16:9,129.00
MSI MAG 255XFV,https://pcpartpicker.com/product/LbsV3C/msi-mag-255xfv-245-1920-x-1080-250-hz-monitor-mag-255xfv,https://cdna.pcpartpicker.com/static/forever/images/product/96b20151f2de1ad8b4dc6e3f4a5d22a9.256p.jpg,"24.5""",1920 x 1080,250 Hz,0.5 ms,VA,16:9,99.00
Samsung Odyssey OLED G60SF,https://pcpartpicker.com/product/99QwrH/samsung-odyssey-oled-g60sf-270-2560-x-1440-500-hz-monitor-ls27fg602snxza,https://cdna.pcpartpicker.com/static/forever/images/product/603d8c0d85b298d17f2bcac07a6c3acc.256p.jpg,"27.0""",2560 x 1440,500 Hz,0.03 ms,QD-OLED,16:9,699.99
Samsung Odyssey G50D,https://pcpartpicker.com/product/d4XV3C/samsung-odyssey-g50d-320-2560-x-1440-180-hz-monitor-ls32dg500euxen,https://cdna.pcpartpicker.com/static/forever/images/product/c903bbc5fda799d30df0bc02c5e8a618.256p.jpg,"32.0""",2560 x 1440,180 Hz,1 ms,IPS,16:9,319.99
AOC Q27G42ZE,https://pcpartpicker.com/product/WVQwrH/aoc-q27g42ze-270-2560-x-1440-260-hz-monitor-q27g42ze,https://cdna.pcpartpicker.com/static/forever/images/product/4bedf33ff8419007e43b7c51fd3eff0b.256p.jpg,"27.0""",2560 x 1440,260 Hz,,IPS,16:9,
AOC Agon AG493UCX,https://pcpartpicker.com/product/2D7p99/aoc-agon-ag493ucx-490-5120-x-1440-120-hz-curved-monitor-ag493ucx,https://m.media-amazon.com/images/I/41r8PWfrvLL.jpg,"49.0""",5120 x 1440,120 Hz,,VA,32:9,2775.83
Samsung Odyssey OLED G95SC,https://pcpartpicker.com/product/pn26Mp/samsung-odyssey-oled-g95sc-490-5120-x-1440-240-hz-curved-monitor-ls49cg954snxza,https://cdna.pcpartpicker.com/static/forever/images/product/034e1120405c86551cae15370eb23000.256p.jpg,"49.0""",5120 x 1440,240 Hz,,QD-OLED,32:9,1799.99
LG UltraGear 27GR83Q-B,https://pcpartpicker.com/product/6WBzK8/lg-ultragear-27gr83q-b-270-2560-x-1440-240-hz-monitor-27gr83q-b,https://cdna.pcpartpicker.com/static/forever/images/product/a5ad5a8ee62daa7c25b6ecef0dc7720b.256p.jpg,"27.0""",2560 x 1440,240 Hz,1 ms,IPS,16:9,319.99
Asus TUF Gaming VG279Q3A,https://pcpartpicker.com/product/RpzXsY/asus-tuf-gaming-vg279q3a-270-1920-x-1080-180-hz-monitor-90lm0990-b011b0,https://cdna.pcpartpicker.com/static/forever/images/product/e30edcc9a15d5725f4ff79fa0a587284.256p.jpg,"27.0""",1920 x 1080,180 Hz,1 ms,IPS,16:9,136.88
MSI PRO MP251 E2,https://pcpartpicker.com/product/Ztkqqs/msi-pro-mp251-e2-245-1920-x-1080-120-hz-monitor-pro-mp251-e2,https://cdna.pcpartpicker.com/static/forever/images/product/ce43651c672fe4b7c1d370bc107a670d.256p.jpg,"24.5""",1920 x 1080,120 Hz,4 ms,IPS,16:9,84.99
Asus ROG Swift OLED PG32UCDMR,https://pcpartpicker.com/product/bsVfrH/asus-rog-swift-oled-pg32ucdmr-315-3840-x-2160-240-hz-monitor-pg32ucdmr,https://cdna.pcpartpicker.com/static/forever/images/product/d9d038436602df342dcadee3fc0f56cd.256p.jpg,"31.5""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,1299.00
MSI MAG 272QP QD-OLED X50,https://pcpartpicker.com/product/79vscf/msi-mag-272qp-qd-oled-x50-265-2560-x-1440-500-hz-monitor-mag-272qp-qd-oled-x50,https://cdna.pcpartpicker.com/static/forever/images/product/f52bb79d2d10e7a57fd11becca100d63.256p.jpg,"26.5""",2560 x 1440,500 Hz,0.03 ms,QD-OLED,16:9,699.99
Dell Alienware AW2725DM,https://pcpartpicker.com/product/JPKnTW/dell-alienware-aw2725dm-270-2560-x-1440-180-hz-monitor-aw2725dm,https://cdna.pcpartpicker.com/static/forever/images/product/28087e55a29d2c68d4031224d708fdb8.256p.jpg,"27.0""",2560 x 1440,180 Hz,1 ms,IPS,16:9,199.99
MSI PRO MP275Q,https://pcpartpicker.com/product/Jw26Mp/msi-pro-mp275q-270-2560-x-1440-100-hz-monitor-pro-mp275q,https://cdna.pcpartpicker.com/static/forever/images/product/b8cad4a180bfa514dd706a9ab7d3bdd4.256p.jpg,"27.0""",2560 x 1440,100 Hz,4 ms,IPS,16:9,139.99
MSI MPG 341CQPX QD-OLED,https://pcpartpicker.com/product/zrNYcf/msi-mpg-341cqpx-qd-oled-340-3440-x-1440-240-hz-curved-monitor-mpg-341cqpx-qd-oled,https://m.media-amazon.com/images/I/512Ce6WdCkL.jpg,"34.0""",3440 x 1440,240 Hz,0.03 ms,QD-OLED,21:9,719.99
MSI MAG 271QP QD-OLED X24,https://pcpartpicker.com/product/qPYfrH/msi-mag-271qp-qd-oled-x24-265-2560-x-1440-240-hz-monitor-mag-271qp-qd-oled-x24,https://cdna.pcpartpicker.com/static/forever/images/product/31a5e3eb6b12050e896dc290d23a8dc2.256p.jpg,"26.5""",2560 x 1440,240 Hz,0.03 ms,QD-OLED,16:9,
LG UltraGear 32GS95UV-W,https://pcpartpicker.com/product/HRkqqs/lg-ultragear-32gs95uv-w-315-3840-x-2160-240-hz-monitor-32gs95uv-w,https://cdna.pcpartpicker.com/static/forever/images/product/3ac1606c74bb0d22b2f2235f5253be03.256p.jpg,"31.5""",3840 x 2160,240 Hz,0.03 ms,OLED,16:9,
ASRock PG27FFT1A,https://pcpartpicker.com/product/TBMMnQ/asrock-pg27fft1a-270-1920-x-1080-180-hz-monitor-pg27fft1a,https://cdna.pcpartpicker.com/static/forever/images/product/ee7a074668f1ff06519faa2861567a42.256p.jpg,"27.0""",1920 x 1080,180 Hz,,IPS,16:9,98.77
Samsung Odyssey G5,https://pcpartpicker.com/product/pKcgXL/samsung-odyssey-g5-340-3440-x-1440-165-hz-curved-monitor-lc34g55twwpxen,https://cdna.pcpartpicker.com/static/forever/images/product/9d7490710d4a827743be2fb490314836.256p.jpg,"34.0""",3440 x 1440,165 Hz,,VA,21:9,
Gigabyte GS27QA,https://pcpartpicker.com/product/NdV2FT/gigabyte-gs27qa-270-2560-x-1440-180-hz-monitor-gs27qa,https://cdna.pcpartpicker.com/static/forever/images/product/26fc08ffb7a8f539bf93b0b10deb4c74.256p.jpg,"27.0""",2560 x 1440,180 Hz,,IPS,16:9,346.62
Acer V227Q A,https://pcpartpicker.com/product/MDXJ7P/acer-v227q-a-215-1920-x-1080-75-hz-monitor-umwv7aaa06,https://cdna.pcpartpicker.com/static/forever/images/product/8945ef35775f394ef883e5cd9ad2cdc9.256p.jpg,"21.5""",1920 x 1080,75 Hz,4 ms,VA,16:9,
Planar PLL2250MW,https://pcpartpicker.com/product/ktZFf7/planar-pll2250mw-215-1920x1080-60-hz-monitor-997-9044-00,https://cdna.pcpartpicker.com/static/forever/images/product/b5d835fc0d905cc6ad6bd04db975ac2d.256p.jpg,"21.5""",1920 x 1080,60 Hz,12.5 ms,IPS,16:9,
AOC 24G4XE,https://pcpartpicker.com/product/6x3NnQ/aoc-24g4xe-240-1920-x-1080-180-hz-monitor-24g4xe,https://cdna.pcpartpicker.com/static/forever/images/product/36f084159a32f721b87052dbb57ef47c.256p.jpg,"24.0""",1920 x 1080,180 Hz,,IPS,16:9,
